Foundation URI,Linearization URI,Code,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,Version:2025 Jan 24 - 22:30 UTC
http://id.who.int/icd/entity/205338477,http://id.who.int/icd/release/11/mms/205338477,EK71.1,multiple skin tags,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EK7,,,,,
,http://id.who.int/icd/release/11/mms/1834683622/unspecified,EK71.Z,Polyp of skin not elsewhere classified,category,2,TRUE,14,browser,TRUE,TRUE,BlockL1-EK7,,,,,
http://id.who.int/icd/entity/1173690756,http://id.who.int/icd/release/11/mms/1173690756,BlockL1-EK9,disorders of the skin of uncertain or unpredictable malignant potential,block,1,FALSE,14,browser,FALSE,,,,,,,
http://id.who.int/icd/entity/1574420820,http://id.who.int/icd/release/11/mms/1574420820,EK90,Actinic keratosis and other discrete epidermal dysplasias,category,1,FALSE,14,browser,FALSE,TRUE,BlockL1-EK9,,,,,
http://id.who.int/icd/entity/1803982621,http://id.who.int/icd/release/11/mms/1803982621,EK90.0,Actinic keratosis,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EK9,,,,,
http://id.who.int/icd/entity/1976997748,http://id.who.int/icd/release/11/mms/1976997748,EK90.1,Diffuse Actinic keratinocyte dysplasia,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EK9,,,,,
,http://id.who.int/icd/release/11/mms/1574420820/other,EK90.Y,other discrete epidermal dysplasias,category,2,TRUE,14,browser,TRUE,TRUE,BlockL1-EK9,,,,,
http://id.who.int/icd/entity/1160279751,http://id.who.int/icd/release/11/mms/1160279751,EK91,dermatoses which may presage Cutaneous lymphoma,category,1,FALSE,14,browser,FALSE,TRUE,BlockL1-EK9,,,,,
http://id.who.int/icd/entity/1532939912,http://id.who.int/icd/release/11/mms/1532939912,EK91.0,large plaque parapsoriasis,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EK9,,,,,
http://id.who.int/icd/entity/927945582,http://id.who.int/icd/release/11/mms/927945582,EK91.1,poikiloderma vasculare atrophicans,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EK9,,,,,
http://id.who.int/icd/entity/1669369613,http://id.who.int/icd/release/11/mms/1669369613,EK91.2,Primary Cutaneous plasmacytosis,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EK9,,,,,
http://id.who.int/icd/entity/1252027455,http://id.who.int/icd/release/11/mms/1252027455,EK92,histiocytoses of uncertain malignant potential,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EK9,,,,,
http://id.who.int/icd/entity/141396655,http://id.who.int/icd/release/11/mms/141396655,BlockL1-EL1,Cutaneous markers of internal disorders,block,1,FALSE,14,browser,FALSE,,,,,,,
http://id.who.int/icd/entity/1727783745,http://id.who.int/icd/release/11/mms/1727783745,BlockL2-EL1,Cutaneous markers of internal malignancy,block,2,FALSE,14,browser,FALSE,,BlockL1-EL1,,,,,
http://id.who.int/icd/entity/2037463157,http://id.who.int/icd/release/11/mms/2037463157,EL10,Paraneoplastic syndromes involving skin,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EL1,BlockL2-EL1,,,,
,http://id.who.int/icd/release/11/mms/1727783745/other,EL1Y,other specified Cutaneous markers of internal malignancy,category,1,TRUE,14,browser,TRUE,TRUE,BlockL1-EL1,BlockL2-EL1,,,,
,http://id.who.int/icd/release/11/mms/141396655/other,EL3Y,other specified Cutaneous markers of internal disorders,category,1,TRUE,14,browser,TRUE,TRUE,BlockL1-EL1,,,,,
http://id.who.int/icd/entity/1336446723,http://id.who.int/icd/release/11/mms/1336446723,BlockL1-EL5,Postprocedural disorders of the skin,block,1,FALSE,14,browser,FALSE,,,,,,,
http://id.who.int/icd/entity/1482297027,http://id.who.int/icd/release/11/mms/1482297027,EL50,Unsatisfactory surgical scar of skin,category,1,FALSE,14,browser,FALSE,TRUE,BlockL1-EL5,,,,,
http://id.who.int/icd/entity/1736958896,http://id.who.int/icd/release/11/mms/1736958896,EL50.0,keloidal surgical scar,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,,,,,
http://id.who.int/icd/entity/1609201649,http://id.who.int/icd/release/11/mms/1609201649,EL50.1,hypertrophic surgical scar,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,,,,,
http://id.who.int/icd/entity/954227754,http://id.who.int/icd/release/11/mms/954227754,EL50.2,Atrophic surgical scar,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,,,,,
http://id.who.int/icd/entity/1012779542,http://id.who.int/icd/release/11/mms/1012779542,EL50.3,Expanded surgical scar,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,,,,,
,http://id.who.int/icd/release/11/mms/1482297027/unspecified,EL50.Z,"Unsatisfactory surgical scar of skin, unspecified",category,2,TRUE,14,browser,TRUE,TRUE,BlockL1-EL5,,,,,
http://id.who.int/icd/entity/1136303691,http://id.who.int/icd/release/11/mms/1136303691,EL51,Cutaneous flap necrosis,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,,,,,
http://id.who.int/icd/entity/2020119549,http://id.who.int/icd/release/11/mms/2020119549,EL52,Myocutaneous flap necrosis,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,,,,,
http://id.who.int/icd/entity/1814010997,http://id.who.int/icd/release/11/mms/1814010997,EL53,skin Graft failure,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,,,,,
http://id.who.int/icd/entity/1019475380,http://id.who.int/icd/release/11/mms/1019475380,EL54,Composite Graft failure,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,,,,,
http://id.who.int/icd/entity/1272195263,http://id.who.int/icd/release/11/mms/1272195263,BlockL2-EL6,Adverse Cutaneous effects of therapeutic ionizing irradiation,block,2,FALSE,14,browser,FALSE,,BlockL1-EL5,,,,,
http://id.who.int/icd/entity/464336101,http://id.who.int/icd/release/11/mms/464336101,EL60,Acute radiodermatitis following radiotherapy,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,BlockL2-EL6,,,,
http://id.who.int/icd/entity/959374976,http://id.who.int/icd/release/11/mms/959374976,EL61,Chronic radiodermatitis following radiotherapy,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,BlockL2-EL6,,,,
http://id.who.int/icd/entity/1235061,http://id.who.int/icd/release/11/mms/1235061,EL63,Radionecrosis of skin due to therapeutic ionizing irradiation,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EL5,BlockL2-EL6,,,,
http://id.who.int/icd/entity/76047637,http://id.who.int/icd/release/11/mms/76047637,BlockL2-EL7,Complications of Cutaneous cosmetic procedures,block,2,FALSE,14,browser,FALSE,,BlockL1-EL5,,,,,
